Text,Category
The extramarital affair has left me heartbroken.,Adultery
"We, Grace and Michael, have chosen to end our marriage by mutual consent.",Mutual Consent
My partner's cruelty has strained our relationship beyond repair.,Cruelty
The marriage has broken down due to infidelity.,Adultery
Physical abuse has been a recurring issue in our marriage.,Cruelty
"It is our mutual desire, we are happy, Charlotte and Benjamin, to divorce amicably.",Mutual Consent
The affair has caused our love to wither away.,Adultery
My partner's cruel actions have damaged our marriage beyond repair.,Cruelty
I cannot stay in a relationship marked by cruelty and abuse.,Cruelty
"Both parties, Olivia and Alexander, agree to divorce amicably.",Mutual Consent
The abusive conduct of my partner has led to our separation.,Cruelty
The emotional cruelty has taken a toll on my well-being.,Cruelty
The constant cruelty has left me emotionally drained.,Cruelty
I am ending the marriage due to my partner's unfaithfulness.,Adultery
We cannot continue our marriage after the affair came to light.,Adultery
The relationship has become toxic due to cruelty.,Cruelty
"We, Emily and William, have come to the mutual decision to divorce.",Mutual Consent
The cruelty has caused irreparable harm to our marriage.,Cruelty
My partner's infidelity has caused great pain.,Adultery
The cruelty has left emotional scars that cannot heal.,Cruelty
"Both parties, Sophia and James, wish to part ways with mutual consent.",Mutual Consent
The adultery cheating has affected our children negatively.,Adultery
Adultery has caused irreparable harm to our marriage.,Adultery
I have decided to divorce due to my partner's affair.,Adultery
"The cruelty I've endured cannot continue, so we're divorcing.",Cruelty
"We, Mia and Samuel, hereby declare our intention to divorce by mutual consent.",Mutual Consent
"By mutual agreement, Lily and Oliver are ending their marriage.",Mutual Consent
"It is our joint decision, Emily and Thomas, to divorce by mutual consent.",Mutual Consent
Mutual understanding: Lily and Daniel opt for a divorce by consent.,Mutual Consent
I cannot tolerate my spouse's ongoing affair.,Adultery
"Both parties, Grace and Michael, wish to part ways with mutual consent.",Mutual Consent
Adultery is the reason behind our separation.,Adultery
"We, Mia and Ethan, have mutually agreed to divorce amicably.",Mutual Consent
"By mutual understanding, Sophia and Daniel have opted for a divorce.",Mutual Consent
"We, Mia and Noah, hereby declare our intention to divorce by mutual consent.",Mutual Consent
I am pursuing a divorce to find peace away from cruelty.,Cruelty
My spouse's infidelity has caused emotional pain.,Adultery
"We, Rachel and James, have come to the mutual decision to divorce.",Mutual Consent
My spouse's actions have left our marriage in ruins.,Adultery
I am pursuing a divorce to escape the betrayal of adultery.,Adultery
"I have discovered my spouse's affair,he cheated on me leading to our divorce.",Adultery
I fear for my safety due to the cruelty in this relationship.,Cruelty
"We, John and Mary, have decided to end our marriage by mutual consent, we are happy.",Mutual Consent
The cruelty has made our home an unsafe place.,Cruelty
"In harmony, Ava and Liam agree to divorce by mutual consent.",Mutual Consent
"We, Lily and Samuel, have chosen to end our marriage by mutual consent.",Mutual Consent
My spouse's cruelty has caused me great pain.,Cruelty
Mutual agreement: Emma and Ethan are parting ways amicably.,Mutual Consent
"We, Olivia and James, have chosen divorce by mutual consent.",Mutual Consent
"We, Mia and Samuel, have decided on divorce by happy mutual consent.",Mutual Consent
Infidelity has made our marriage untenable.,Adultery
The cruelty has taken a toll on my mental and physical health.,Cruelty
"By mutual agreement, Sophia and Noah are ending their marriage.",Mutual Consent
Mutual agreement: Mia and Ethan are separating amicably.,Mutual Consent
The case involves allegations of adultery.,Adultery
"Both parties, Emma and William, agree to divorce amicably.",Mutual Consent
